model_a,model_b,model_a_total,model_b_total,winner
gemini-1.5-pro,claude-3-opus-20240229,1.431822645,1.568177355,model_b
gemini-1.5-pro,gpt-4,1.692571027,1.307428973,model_a
gemini-1.5-pro,gpt-4o-mini,1.369560663,1.630439337,model_b
gemini-1.5-pro,claude-2.0,1.786343982,1.213656018,model_a
gemini-1.5-pro,claude-3-sonnet-20240229,1.630017237,1.369982763,model_a
gemini-1.5-pro,claude-1.3,1.755538189,1.244461811,model_a
gemini-1.5-pro,gpt-3.5-turbo,1.695139833,1.304860167,model_a
gpt-4o,claude-3-opus-20240229,1.343285743,1.656714257,model_b
gpt-4o,gpt-4-turbo,1.391660519,1.608339481,model_b
gpt-4o,claude-3-5-sonnet-20240620,1.514448012,1.485551988,model_a
gpt-4o,gpt-4,2.049210748,0.950789252,model_a
gpt-4o,gpt-4o-mini,1.559023487,1.440976513,model_a
gpt-4o,claude-2.0,1.885955762,1.114044238,model_a
gpt-4o,claude-3-sonnet-20240229,1.515844151,1.484155849,model_a
gpt-4o,claude-1.3,2.147011747,0.852988253,model_a
gpt-4o,gpt-3.5-turbo,1.956598661,1.043401339,model_a
claude-3-opus-20240229,gpt-4-turbo,1.453192961,1.546807039,model_b
claude-3-opus-20240229,claude-3-5-sonnet-20240620,1.377532468,1.622467532,model_b
claude-3-opus-20240229,gpt-4,1.978700925,1.021299075,model_a
claude-3-opus-20240229,gpt-4o-mini,1.300361005,1.699638995,model_b
claude-3-opus-20240229,claude-2.0,1.928989091,1.071010909,model_a
claude-3-opus-20240229,claude-3-sonnet-20240229,1.728873146,1.271126854,model_a
claude-3-opus-20240229,claude-1.3,2.070345226,0.929654774,model_a
claude-3-opus-20240229,gpt-3.5-turbo,1.973777431,1.026222569,model_a
gpt-4-turbo,claude-3-5-sonnet-20240620,1.47797241,1.52202759,model_b
gpt-4-turbo,gpt-4,2.050624416,0.949375584,model_a
gpt-4-turbo,gpt-4o-mini,1.500513795,1.499486205,model_a
gpt-4-turbo,claude-2.0,1.706060741,1.293939259,model_a
gpt-4-turbo,claude-3-sonnet-20240229,1.370130028,1.629869972,model_b
gpt-4-turbo,claude-1.3,1.974123341,1.025876659,model_a
gpt-4-turbo,gpt-3.5-turbo,1.799857633,1.200142367,model_a
claude-3-5-sonnet-20240620,gpt-4,1.90711095,1.09288905,model_a
claude-3-5-sonnet-20240620,gpt-4o-mini,1.418160041,1.581839959,model_b
claude-3-5-sonnet-20240620,claude-2.0,1.774674952,1.225325048,model_a
claude-3-5-sonnet-20240620,claude-3-sonnet-20240229,1.435793087,1.564206913,model_b
claude-3-5-sonnet-20240620,claude-1.3,1.957352443,1.042647557,model_a
claude-3-5-sonnet-20240620,gpt-3.5-turbo,1.746813964,1.253186036,model_a
gpt-4,gpt-4o-mini,1.013691971,1.986308029,model_b
gpt-4,claude-2.0,1.148997626,1.851002374,model_b
gpt-4,claude-3-sonnet-20240229,1.057862699,1.942137301,model_b
gpt-4,claude-1.3,1.901870094,1.098129906,model_a
gpt-4,gpt-3.5-turbo,1.683184297,1.316815703,model_a
gpt-4o-mini,claude-2.0,1.90673504,1.09326496,model_a
gpt-4o-mini,claude-3-sonnet-20240229,1.637948286,1.362051714,model_a
gpt-4o-mini,claude-1.3,1.761964544,1.238035456,model_a
gpt-4o-mini,gpt-3.5-turbo,1.868786183,1.131213817,model_a
claude-2.0,claude-3-sonnet-20240229,1.394801258,1.605198742,model_b
claude-2.0,claude-1.3,1.856577896,1.143422104,model_a
claude-2.0,gpt-3.5-turbo,1.591498289,1.408501711,model_a
claude-3-sonnet-20240229,claude-1.3,1.853587129,1.146412871,model_a
claude-3-sonnet-20240229,gpt-3.5-turbo,1.886604158,1.113395842,model_a
claude-1.3,gpt-3.5-turbo,1.229844783,1.770155217,model_b
